😀,b'\\U0001F600',grinning face face grin
👩🏿‍🎓,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F393',woman student: dark skin tone dark skin tone graduate student woman
👨‍🏫,b'\\U0001F468\\U0000200D\\U0001F3EB',man teacher instructor man professor teacher
👨🏻‍🏫,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F3EB',man teacher: light skin tone instructor light skin tone man professor teacher
👨🏼‍🏫,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F3EB',man teacher: medium-light skin tone instructor man medium-light skin tone professor teacher
👨🏽‍🏫,b'\\U0001F468\\U0001F3FD\\U0000200D\\U0001F3EB',man teacher: medium skin tone instructor man medium skin tone professor teacher
👨🏾‍🏫,b'\\U0001F468\\U0001F3FE\\U0000200D\\U0001F3EB',man teacher: medium-dark skin tone instructor man medium-dark skin tone professor teacher
👨🏿‍🏫,b'\\U0001F468\\U0001F3FF\\U0000200D\\U0001F3EB',man teacher: dark skin tone dark skin tone instructor man professor teacher
👩‍🏫,b'\\U0001F469\\U0000200D\\U0001F3EB',woman teacher instructor professor teacher woman
👩🏻‍🏫,b'\\U0001F469\\U0001F3FB\\U0000200D\\U0001F3EB',woman teacher: light skin tone instructor light skin tone professor teacher woman
👩🏼‍🏫,b'\\U0001F469\\U0001F3FC\\U0000200D\\U0001F3EB',woman teacher: medium-light skin tone instructor medium-light skin tone professor teacher woman
👩🏽‍🏫,b'\\U0001F469\\U0001F3FD\\U0000200D\\U0001F3EB',woman teacher: medium skin tone instructor medium skin tone professor teacher woman
👩🏾‍🏫,b'\\U0001F469\\U0001F3FE\\U0000200D\\U0001F3EB',woman teacher: medium-dark skin tone instructor medium-dark skin tone professor teacher woman
👩🏿‍🏫,b'\\U0001F469\\U0001F3FF\\U0000200D\\U0001F3EB',woman teacher: dark skin tone dark skin tone instructor professor teacher woman
👨‍⚖️,b'\\U0001F468\\U0000200D\\U00002696\\U0000FE0F',man judge justice man scales
👨🏻‍⚖️,b'\\U0001F468\\U0001F3FB\\U0000200D\\U00002696\\U0000FE0F',man judge: light skin tone justice light skin tone man scales
👨🏼‍⚖️,b'\\U0001F468\\U0001F3FC\\U0000200D\\U00002696\\U0000FE0F',man judge: medium-light skin tone justice man medium-light skin tone scales
👨🏽‍⚖️,b'\\U0001F468\\U0001F3FD\\U0000200D\\U00002696\\U0000FE0F',man judge: medium skin tone justice man medium skin tone scales
👨🏾‍⚖️,b'\\U0001F468\\U0001F3FE\\U0000200D\\U00002696\\U0000FE0F',man judge: medium-dark skin tone justice man medium-dark skin tone scales
👨🏿‍⚖️,b'\\U0001F468\\U0001F3FF\\U0000200D\\U00002696\\U0000FE0F',man judge: dark skin tone dark skin tone justice man scales
👩‍⚖️,b'\\U0001F469\\U0000200D\\U00002696\\U0000FE0F',woman judge judge scales woman
👩🏻‍⚖️,b'\\U0001F469\\U0001F3FB\\U0000200D\\U00002696\\U0000FE0F',woman judge: light skin tone judge light skin tone scales woman
👩🏼‍⚖️,b'\\U0001F469\\U0001F3FC\\U0000200D\\U00002696\\U0000FE0F',woman judge: medium-light skin tone judge medium-light skin tone scales woman
👩🏽‍⚖️,b'\\U0001F469\\U0001F3FD\\U0000200D\\U00002696\\U0000FE0F',woman judge: medium skin tone judge medium skin tone scales woman
👩🏾‍⚖️,b'\\U0001F469\\U0001F3FE\\U0000200D\\U00002696\\U0000FE0F',woman judge: medium-dark skin tone judge medium-dark skin tone scales woman
👩🏿‍⚖️,b'\\U0001F469\\U0001F3FF\\U0000200D\\U00002696\\U0000FE0F',woman judge: dark skin tone dark skin tone judge scales woman
👨‍🌾,b'\\U0001F468\\U0000200D\\U0001F33E',man farmer farmer gardener man rancher
👨🏻‍🌾,b'\\U0001F468\\U0001F3FB\\U0000200D\\U0001F33E',man farmer: light skin tone farmer gardener light skin tone man rancher
👨🏼‍🌾,b'\\U0001F468\\U0001F3FC\\U0000200D\\U0001F33E',man farmer: medium-light skin tone farmer gardener man medium-light skin tone rancher
