😀,b'\\U0001F600',grinning face face grin
🎪,b'\\U0001F3AA',circus tent circus tent
🎭,b'\\U0001F3AD',performing arts art mask performing theater theatre
🖼,b'\\U0001F5BC',framed picture art frame museum painting picture
🎨,b'\\U0001F3A8',artist palette art museum painting palette
🎰,b'\\U0001F3B0',slot machine game slot
🚂,b'\\U0001F682',locomotive engine railway steam train
🚃,b'\\U0001F683',railway car car electric railway train tram trolleybus
🚄,b'\\U0001F684',high-speed train railway shinkansen speed train
🚅,b'\\U0001F685',high-speed train with bullet nose bullet railway shinkansen speed train
🚆,b'\\U0001F686',train railway
🚇,b'\\U0001F687',metro subway
🚈,b'\\U0001F688',light rail railway
🚉,b'\\U0001F689',station railway train
🚊,b'\\U0001F68A',tram trolleybus
🚝,b'\\U0001F69D',monorail vehicle
🚞,b'\\U0001F69E',mountain railway car mountain railway
🚋,b'\\U0001F68B',tram car car tram trolleybus
🚌,b'\\U0001F68C',bus vehicle
🚍,b'\\U0001F68D',oncoming bus bus oncoming
🚎,b'\\U0001F68E',trolleybus bus tram trolley
🚐,b'\\U0001F690',minibus bus
🚑,b'\\U0001F691',ambulance vehicle
🚒,b'\\U0001F692',fire engine engine fire truck
🚓,b'\\U0001F693',police car car patrol police
🚔,b'\\U0001F694',oncoming police car car oncoming police
🚕,b'\\U0001F695',taxi vehicle
🚖,b'\\U0001F696',oncoming taxi oncoming taxi
🚗,b'\\U0001F697',automobile car
🚘,b'\\U0001F698',oncoming automobile automobile car oncoming
🚙,b'\\U0001F699',sport utility vehicle recreational sport utility
🚚,b'\\U0001F69A',delivery truck delivery truck
🚛,b'\\U0001F69B',articulated lorry lorry semi truck
🚜,b'\\U0001F69C',tractor vehicle
🚲,b'\\U0001F6B2',bicycle bike
🛴,b'\\U0001F6F4',kick scooter kick scooter
🛵,b'\\U0001F6F5',motor scooter motor scooter
🚏,b'\\U0001F68F',bus stop bus busstop stop
🛣,b'\\U0001F6E3',motorway highway road
🛤,b'\\U0001F6E4',railway track railway train
⛽,b'\\U000026FD',fuel pump fuel fuelpump gas pump station
🚨,b'\\U0001F6A8',police car light beacon car light police revolving
🚥,b'\\U0001F6A5',horizontal traffic light light signal traffic
🚦,b'\\U0001F6A6',vertical traffic light light signal traffic
🚧,b'\\U0001F6A7',construction barrier
🛑,b'\\U0001F6D1',stop sign octagonal sign stop
⚓,b'\\U00002693',anchor ship tool
⛵,b'\\U000026F5',sailboat boat resort sea yacht
🛶,b'\\U0001F6F6',canoe boat canoe
🚤,b'\\U0001F6A4',speedboat boat
🛳,b'\\U0001F6F3',passenger ship passenger ship
⛴,b'\\U000026F4',ferry boat passenger
🛥,b'\\U0001F6E5',motor boat boat motorboat
🚢,b'\\U0001F6A2',ship boat passenger
✈,b'\\U00002708',airplane aeroplane airplane
🛩,b'\\U0001F6E9',small airplane aeroplane airplane
🛫,b'\\U0001F6EB',airplane departure aeroplane airplane check-in departure departures
🛬,b'\\U0001F6EC',airplane arrival aeroplane airplane arrivals arriving landing
💺,b'\\U0001F4BA',seat chair
🚁,b'\\U0001F681',helicopter vehicle
🚟,b'\\U0001F69F',suspension railway railway suspension
🚠,b'\\U0001F6A0',mountain cableway cable gondola mountain
🚡,b'\\U0001F6A1',aerial tramway aerial cable car gondola tramway
🚀,b'\\U0001F680',rocket space
🛰,b'\\U0001F6F0',satellite space
🛎,b'\\U0001F6CE',bellhop bell bell bellhop hotel
🚪,b'\\U0001F6AA',door door
🛌,b'\\U0001F6CC',person in bed hotel sleep
🛌🏻,b'\\U0001F6CC\\U0001F3FB',person in bed: light skin tone hotel light skin tone sleep
🛌🏼,b'\\U0001F6CC\\U0001F3FC',person in bed: medium-light skin tone hotel medium-light skin tone sleep
🛌🏽,b'\\U0001F6CC\\U0001F3FD',person in bed: medium skin tone hotel medium skin tone sleep
🛌🏾,b'\\U0001F6CC\\U0001F3FE',person in bed: medium-dark skin tone hotel medium-dark skin tone sleep
🛌🏿,b'\\U0001F6CC\\U0001F3FF',person in bed: dark skin tone dark skin tone hotel sleep
🛏,b'\\U0001F6CF',bed hotel sleep
🛋,b'\\U0001F6CB',couch and lamp couch hotel lamp
🚽,b'\\U0001F6BD',toilet toilet
🚿,b'\\U0001F6BF',shower water
🛀,b'\\U0001F6C0',person taking bath bath bathtub
🛀🏻,b'\\U0001F6C0\\U0001F3FB',person taking bath: light skin tone bath bathtub light skin tone
🛀🏼,b'\\U0001F6C0\\U0001F3FC',person taking bath: medium-light skin tone bath bathtub medium-light skin tone
🛀🏽,b'\\U0001F6C0\\U0001F3FD',person taking bath: medium skin tone bath bathtub medium skin tone
🛀🏾,b'\\U0001F6C0\\U0001F3FE',person taking bath: medium-dark skin tone bath bathtub medium-dark skin tone
🛀🏿,b'\\U0001F6C0\\U0001F3FF',person taking bath: dark skin tone bath bathtub dark skin tone
🛁,b'\\U0001F6C1',bathtub bath
⌛,b'\\U0000231B',hourglass sand timer
⏳,b'\\U000023F3',hourglass with flowing sand hourglass sand timer
⌚,b'\\U0000231A',watch clock
⏰,b'\\U000023F0',alarm clock alarm clock
⏱,b'\\U000023F1',stopwatch clock
⏲,b'\\U000023F2',timer clock clock timer
🕰,b'\\U0001F570',mantelpiece clock clock
🕛,b'\\U0001F55B',twelve o’clock 00 12 12:00 clock o’clock twelve
🕧,b'\\U0001F567',twelve-thirty 12 12:30 30 clock thirty twelve
🕐,b'\\U0001F550',one o’clock 00 1 1:00 clock o’clock one
🕜,b'\\U0001F55C',one-thirty 1 1:30 30 clock one thirty
🕑,b'\\U0001F551',two o’clock 00 2 2:00 clock o’clock two
🕝,b'\\U0001F55D',two-thirty 2 2:30 30 clock thirty two
🕒,b'\\U0001F552',three o’clock 00 3 3:00 clock o’clock three
🕞,b'\\U0001F55E',three-thirty 3 3:30 30 clock thirty three
🕓,b'\\U0001F553',four o’clock 00 4 4:00 clock four o’clock
🕟,b'\\U0001F55F',four-thirty 30 4 4:30 clock four thirty
🕔,b'\\U0001F554',five o’clock 00 5 5:00 clock five o’clock
🕠,b'\\U0001F560',five-thirty 30 5 5:30 clock five thirty
🕕,b'\\U0001F555',six o’clock 00 6 6:00 clock o’clock six
🕡,b'\\U0001F561',six-thirty 30 6 6:30 clock six thirty
🕖,b'\\U0001F556',seven o’clock 00 7 7:00 clock o’clock seven
🕢,b'\\U0001F562',seven-thirty 30 7 7:30 clock seven thirty
🕗,b'\\U0001F557',eight o’clock 00 8 8:00 clock eight o’clock
🕣,b'\\U0001F563',eight-thirty 30 8 8:30 clock eight thirty
🕘,b'\\U0001F558',nine o’clock 00 9 9:00 clock nine o’clock
🕤,b'\\U0001F564',nine-thirty 30 9 9:30 clock nine thirty
🕙,b'\\U0001F559',ten o’clock 00 10 10:00 clock o’clock ten
🕥,b'\\U0001F565',ten-thirty 10 10:30 30 clock ten thirty
🕚,b'\\U0001F55A',eleven o’clock 00 11 11:00 clock eleven o’clock
🕦,b'\\U0001F566',eleven-thirty 11 11:30 30 clock eleven thirty
🌑,b'\\U0001F311',new moon dark moon
🌒,b'\\U0001F312',waxing crescent moon crescent moon waxing
🌓,b'\\U0001F313',first quarter moon moon quarter
🌔,b'\\U0001F314',waxing gibbous moon gibbous moon waxing
🌕,b'\\U0001F315',full moon full moon
🌖,b'\\U0001F316',waning gibbous moon gibbous moon waning
🌗,b'\\U0001F317',last quarter moon moon quarter
🌘,b'\\U0001F318',waning crescent moon crescent moon waning
🌙,b'\\U0001F319',crescent moon crescent moon
🌚,b'\\U0001F31A',new moon face face moon
🌛,b'\\U0001F31B',first quarter moon with face face moon quarter
🌜,b'\\U0001F31C',last quarter moon with face face moon quarter
🌡,b'\\U0001F321',thermometer weather
☀,b'\\U00002600',sun bright rays sunny
🌝,b'\\U0001F31D',full moon with face bright face full moon
🌞,b'\\U0001F31E',sun with face bright face sun
⭐,b'\\U00002B50',white medium star star
🌟,b'\\U0001F31F',glowing star glittery glow shining sparkle star
🌠,b'\\U0001F320',shooting star falling shooting star
☁,b'\\U00002601',cloud weather
⛅,b'\\U000026C5',sun behind cloud cloud sun
⛈,b'\\U000026C8',cloud with lightning and rain cloud rain thunder
🌤,b'\\U0001F324',sun behind small cloud cloud sun
🌥,b'\\U0001F325',sun behind large cloud cloud sun
🌦,b'\\U0001F326',sun behind rain cloud cloud rain sun
🌧,b'\\U0001F327',cloud with rain cloud rain
🌨,b'\\U0001F328',cloud with snow cloud cold snow
🌩,b'\\U0001F329',cloud with lightning cloud lightning
🌪,b'\\U0001F32A',tornado cloud whirlwind
🌫,b'\\U0001F32B',fog cloud
🌬,b'\\U0001F32C',wind face blow cloud face wind
🌀,b'\\U0001F300',cyclone dizzy twister typhoon
🌈,b'\\U0001F308',rainbow rain
🌂,b'\\U0001F302',closed umbrella clothing rain umbrella
☂,b'\\U00002602',umbrella clothing rain
☔,b'\\U00002614',umbrella with rain drops clothing drop rain umbrella
⛱,b'\\U000026F1',umbrella on ground rain sun umbrella
⚡,b'\\U000026A1',high voltage danger electric electricity lightning voltage zap
❄,b'\\U00002744',snowflake cold snow
☃,b'\\U00002603',snowman cold snow
⛄,b'\\U000026C4',snowman without snow cold snow snowman
☄,b'\\U00002604',comet space
🔥,b'\\U0001F525',fire flame tool
💧,b'\\U0001F4A7',droplet cold comic drop sweat
🌊,b'\\U0001F30A',water wave ocean water wave
🎃,b'\\U0001F383',jack-o-lantern celebration halloween jack lantern
🎄,b'\\U0001F384',Christmas tree celebration Christmas tree
🎆,b'\\U0001F386',fireworks celebration
🎇,b'\\U0001F387',sparkler celebration fireworks sparkle
✨,b'\\U00002728',sparkles sparkle star
🎈,b'\\U0001F388',balloon celebration
🎉,b'\\U0001F389',party popper celebration party popper tada
🎊,b'\\U0001F38A',confetti ball ball celebration confetti
🎋,b'\\U0001F38B',tanabata tree banner celebration Japanese tree
🎍,b'\\U0001F38D',pine decoration bamboo celebration Japanese pine
🎎,b'\\U0001F38E',Japanese dolls celebration doll festival Japanese
🎏,b'\\U0001F38F',carp streamer carp celebration streamer
🎐,b'\\U0001F390',wind chime bell celebration chime wind
🎑,b'\\U0001F391',moon viewing ceremony celebration ceremony moon
🎀,b'\\U0001F380',ribbon celebration
🎁,b'\\U0001F381',wrapped gift box celebration gift present wrapped
🎗,b'\\U0001F397',reminder ribbon celebration reminder ribbon
🎟,b'\\U0001F39F',admission tickets admission ticket
🎫,b'\\U0001F3AB',ticket admission
🎖,b'\\U0001F396',military medal celebration medal military
🏆,b'\\U0001F3C6',trophy prize
🏅,b'\\U0001F3C5',sports medal medal
🥇,b'\\U0001F947',1st place medal first gold medal
🥈,b'\\U0001F948',2nd place medal medal second silver
🥉,b'\\U0001F949',3rd place medal bronze medal third
⚽,b'\\U000026BD',soccer ball ball football soccer
⚾,b'\\U000026BE',baseball ball
🏀,b'\\U0001F3C0',basketball ball hoop
🏐,b'\\U0001F3D0',volleyball ball game
🏈,b'\\U0001F3C8',american football american ball football
🏉,b'\\U0001F3C9',rugby football ball football rugby
🎾,b'\\U0001F3BE',tennis ball racquet
🎱,b'\\U0001F3B1',pool 8 ball 8 8 ball ball billiard eight game
🎳,b'\\U0001F3B3',bowling ball game
🏏,b'\\U0001F3CF',cricket ball bat game
🏑,b'\\U0001F3D1',field hockey ball field game hockey stick
🏒,b'\\U0001F3D2',ice hockey game hockey ice puck stick
🏓,b'\\U0001F3D3',ping pong ball bat game paddle ping pong table tennis
🏸,b'\\U0001F3F8',badminton birdie game racquet shuttlecock
🥊,b'\\U0001F94A',boxing glove boxing glove
🥋,b'\\U0001F94B',martial arts uniform judo karate martial arts taekwondo uniform
🥅,b'\\U0001F945',goal net goal net
🎯,b'\\U0001F3AF',direct hit bull bullseye dart eye game hit target
⛳,b'\\U000026F3',flag in hole golf hole
⛸,b'\\U000026F8',ice skate ice skate
🎣,b'\\U0001F3A3',fishing pole fish pole
🎽,b'\\U0001F3BD',running shirt athletics running sash shirt
🎿,b'\\U0001F3BF',skis ski snow
🎮,b'\\U0001F3AE',video game controller game
🕹,b'\\U0001F579',joystick game video game
🎲,b'\\U0001F3B2',game die dice die game
♠,b'\\U00002660',spade suit card game
♥,b'\\U00002665',heart suit card game
♦,b'\\U00002666',diamond suit card game
♣,b'\\U00002663',club suit card game
🃏,b'\\U0001F0CF',joker card game wildcard
🀄,b'\\U0001F004',mahjong red dragon game mahjong red
🎴,b'\\U0001F3B4',flower playing cards card flower game Japanese playing
🔇,b'\\U0001F507',muted speaker mute quiet silent speaker
🔈,b'\\U0001F508',speaker low volume soft
🔉,b'\\U0001F509',speaker medium volume medium
🔊,b'\\U0001F50A',speaker high volume loud
📢,b'\\U0001F4E2',loudspeaker loud public address
📣,b'\\U0001F4E3',megaphone cheering
📯,b'\\U0001F4EF',postal horn horn post postal
🔔,b'\\U0001F514',bell bell
🔕,b'\\U0001F515',bell with slash bell forbidden mute no not prohibited quiet silent
🎼,b'\\U0001F3BC',musical score music score
🎵,b'\\U0001F3B5',musical note music note
🎶,b'\\U0001F3B6',musical notes music note notes
🎙,b'\\U0001F399',studio microphone mic microphone music studio
🎚,b'\\U0001F39A',level slider level music slider
🎛,b'\\U0001F39B',control knobs control knobs music
🎤,b'\\U0001F3A4',microphone karaoke mic
🎧,b'\\U0001F3A7',headphone earbud
📻,b'\\U0001F4FB',radio video
🎷,b'\\U0001F3B7',saxophone instrument music sax
🎸,b'\\U0001F3B8',guitar instrument music
🎹,b'\\U0001F3B9',musical keyboard instrument keyboard music piano
🎺,b'\\U0001F3BA',trumpet instrument music
🎻,b'\\U0001F3BB',violin instrument music
🥁,b'\\U0001F941',drum drum drumsticks music
📱,b'\\U0001F4F1',mobile phone cell mobile phone telephone
📲,b'\\U0001F4F2',mobile phone with arrow arrow call cell mobile phone receive telephone
☎,b'\\U0000260E',telephone phone
📞,b'\\U0001F4DE',telephone receiver phone receiver telephone
📟,b'\\U0001F4DF',pager pager
📠,b'\\U0001F4E0',fax machine fax
🔋,b'\\U0001F50B',battery battery
🔌,b'\\U0001F50C',electric plug electric electricity plug
💻,b'\\U0001F4BB',laptop computer computer pc personal
🖥,b'\\U0001F5A5',desktop computer computer desktop
🖨,b'\\U0001F5A8',printer computer
⌨,b'\\U00002328',keyboard computer
🖱,b'\\U0001F5B1',computer mouse computer
🖲,b'\\U0001F5B2',trackball computer
💽,b'\\U0001F4BD',computer disk computer disk minidisk optical
💾,b'\\U0001F4BE',floppy disk computer disk floppy
💿,b'\\U0001F4BF',optical disk cd computer disk optical
📀,b'\\U0001F4C0',dvd blu-ray computer disk dvd optical
🎥,b'\\U0001F3A5',movie camera camera cinema movie
🎞,b'\\U0001F39E',film frames cinema film frames movie
📽,b'\\U0001F4FD',film projector cinema film movie projector video
🎬,b'\\U0001F3AC',clapper board clapper movie
📺,b'\\U0001F4FA',television tv video
📷,b'\\U0001F4F7',camera video
📸,b'\\U0001F4F8',camera with flash camera flash video
📹,b'\\U0001F4F9',video camera camera video
📼,b'\\U0001F4FC',videocassette tape vhs video
🔍,b'\\U0001F50D',left-pointing magnifying glass glass magnifying search tool
🔎,b'\\U0001F50E',right-pointing magnifying glass glass magnifying search tool
🔬,b'\\U0001F52C',microscope science tool
🔭,b'\\U0001F52D',telescope science tool
📡,b'\\U0001F4E1',satellite antenna antenna dish satellite
🕯,b'\\U0001F56F',candle light
💡,b'\\U0001F4A1',light bulb bulb comic electric idea light
🔦,b'\\U0001F526',flashlight electric light tool torch
🏮,b'\\U0001F3EE',red paper lantern bar Japanese lantern light red
📔,b'\\U0001F4D4',notebook with decorative cover book cover decorated notebook
📕,b'\\U0001F4D5',closed book book closed
📖,b'\\U0001F4D6',open book book open
📗,b'\\U0001F4D7',green book book green
📘,b'\\U0001F4D8',blue book blue book
📙,b'\\U0001F4D9',orange book book orange
📚,b'\\U0001F4DA',books book
📓,b'\\U0001F4D3',notebook notebook
📒,b'\\U0001F4D2',ledger notebook
📃,b'\\U0001F4C3',page with curl curl document page
📜,b'\\U0001F4DC',scroll paper
📄,b'\\U0001F4C4',page facing up document page
📰,b'\\U0001F4F0',newspaper news paper
🗞,b'\\U0001F5DE',rolled-up newspaper news newspaper paper rolled
📑,b'\\U0001F4D1',bookmark tabs bookmark mark marker tabs
🔖,b'\\U0001F516',bookmark mark
🏷,b'\\U0001F3F7',label label
💰,b'\\U0001F4B0',money bag bag dollar money moneybag
💴,b'\\U0001F4B4',yen banknote bank banknote bill currency money note yen
💵,b'\\U0001F4B5',dollar banknote bank banknote bill currency dollar money note
💶,b'\\U0001F4B6',euro banknote bank banknote bill currency euro money note
💷,b'\\U0001F4B7',pound banknote bank banknote bill currency money note pound
💸,b'\\U0001F4B8',money with wings bank banknote bill dollar fly money note wings
💳,b'\\U0001F4B3',credit card bank card credit money
💹,b'\\U0001F4B9',chart increasing with yen bank chart currency graph growth market money rise trend upward yen
💱,b'\\U0001F4B1',currency exchange bank currency exchange money
💲,b'\\U0001F4B2',heavy dollar sign currency dollar money
✉,b'\\U00002709',envelope email letter
📧,b'\\U0001F4E7',e-mail email letter mail
📨,b'\\U0001F4E8',incoming envelope e-mail email envelope incoming letter mail receive
📩,b'\\U0001F4E9',envelope with arrow arrow down e-mail email envelope letter mail outgoing sent
📤,b'\\U0001F4E4',outbox tray box letter mail outbox sent tray
📥,b'\\U0001F4E5',inbox tray box inbox letter mail receive tray
📦,b'\\U0001F4E6',package box parcel
📫,b'\\U0001F4EB',closed mailbox with raised flag closed mail mailbox postbox
📪,b'\\U0001F4EA',closed mailbox with lowered flag closed lowered mail mailbox postbox
📬,b'\\U0001F4EC',open mailbox with raised flag mail mailbox open postbox
📭,b'\\U0001F4ED',open mailbox with lowered flag lowered mail mailbox open postbox
📮,b'\\U0001F4EE',postbox mail mailbox
🗳,b'\\U0001F5F3',ballot box with ballot ballot box
✏,b'\\U0000270F',pencil pencil
✒,b'\\U00002712',black nib nib pen
🖋,b'\\U0001F58B',fountain pen fountain pen
🖊,b'\\U0001F58A',pen ballpoint
🖌,b'\\U0001F58C',paintbrush painting
🖍,b'\\U0001F58D',crayon crayon
📝,b'\\U0001F4DD',memo pencil
💼,b'\\U0001F4BC',briefcase briefcase
📁,b'\\U0001F4C1',file folder file folder
📂,b'\\U0001F4C2',open file folder file folder open
🗂,b'\\U0001F5C2',card index dividers card dividers index
📅,b'\\U0001F4C5',calendar date
📆,b'\\U0001F4C6',tear-off calendar calendar
🗒,b'\\U0001F5D2',spiral notepad note pad spiral
🗓,b'\\U0001F5D3',spiral calendar calendar pad spiral
📇,b'\\U0001F4C7',card index card index rolodex
📈,b'\\U0001F4C8',chart increasing chart graph growth trend upward
📉,b'\\U0001F4C9',chart decreasing chart down graph trend
📊,b'\\U0001F4CA',bar chart bar chart graph
📋,b'\\U0001F4CB',clipboard clipboard
📌,b'\\U0001F4CC',pushpin pin
📍,b'\\U0001F4CD',round pushpin pin pushpin
📎,b'\\U0001F4CE',paperclip paperclip
🖇,b'\\U0001F587',linked paperclips link paperclip
📏,b'\\U0001F4CF',straight ruler ruler straight edge
📐,b'\\U0001F4D0',triangular ruler ruler set triangle
✂,b'\\U00002702',scissors cutting tool
🗃,b'\\U0001F5C3',card file box box card file
🗄,b'\\U0001F5C4',file cabinet cabinet file filing
🗑,b'\\U0001F5D1',wastebasket wastebasket
🔒,b'\\U0001F512',locked closed
🔓,b'\\U0001F513',unlocked lock open unlock
🔏,b'\\U0001F50F',locked with pen ink lock nib pen privacy
🔐,b'\\U0001F510',locked with key closed key lock secure
🔑,b'\\U0001F511',key lock password
🗝,b'\\U0001F5DD',old key clue key lock old
🔨,b'\\U0001F528',hammer tool
⛏,b'\\U000026CF',pick mining tool
⚒,b'\\U00002692',hammer and pick hammer pick tool
🛠,b'\\U0001F6E0',hammer and wrench hammer spanner tool wrench
🗡,b'\\U0001F5E1',dagger knife weapon
⚔,b'\\U00002694',crossed swords crossed swords weapon
🔫,b'\\U0001F52B',pistol gun handgun revolver tool weapon
🏹,b'\\U0001F3F9',bow and arrow archer archery arrow bow Sagittarius tool weapon zodiac
🛡,b'\\U0001F6E1',shield weapon
🔧,b'\\U0001F527',wrench spanner tool wrench
🔩,b'\\U0001F529',nut and bolt bolt nut tool
⚙,b'\\U00002699',gear tool
🗜,b'\\U0001F5DC',clamp compress tool vice
⚗,b'\\U00002697',alembic chemistry tool
⚖,b'\\U00002696',balance scale balance justice Libra scales tool weight zodiac
🔗,b'\\U0001F517',link link
⛓,b'\\U000026D3',chains chain
💉,b'\\U0001F489',syringe doctor medicine needle shot sick tool
💊,b'\\U0001F48A',pill doctor medicine sick
🚬,b'\\U0001F6AC',cigarette smoking
⚰,b'\\U000026B0',coffin death
⚱,b'\\U000026B1',funeral urn ashes death funeral urn
🗿,b'\\U0001F5FF',moai face moyai statue
🛢,b'\\U0001F6E2',oil drum drum oil
🔮,b'\\U0001F52E',crystal ball ball crystal fairy tale fantasy fortune tool
🛒,b'\\U0001F6D2',shopping cart cart shopping trolley
🏧,b'\\U0001F3E7',ATM sign atm automated bank teller
🚮,b'\\U0001F6AE',litter in bin sign litter litter bin
🚰,b'\\U0001F6B0',potable water drinking potable water
♿,b'\\U0000267F',wheelchair symbol access
🚹,b'\\U0001F6B9',men’s room lavatory man restroom wc
🚺,b'\\U0001F6BA',women’s room lavatory restroom wc woman
🚻,b'\\U0001F6BB',restroom lavatory restroom WC
🚼,b'\\U0001F6BC',baby symbol baby changing
🚾,b'\\U0001F6BE',water closet closet lavatory restroom water wc
🛂,b'\\U0001F6C2',passport control control passport
🛃,b'\\U0001F6C3',customs customs
🛄,b'\\U0001F6C4',baggage claim baggage claim
🛅,b'\\U0001F6C5',left luggage baggage locker luggage
⚠,b'\\U000026A0',warning warning
🚸,b'\\U0001F6B8',children crossing child crossing pedestrian traffic
⛔,b'\\U000026D4',no entry entry forbidden no not prohibited traffic
🚫,b'\\U0001F6AB',prohibited entry forbidden no not
🚳,b'\\U0001F6B3',no bicycles bicycle bike forbidden no not prohibited
🚭,b'\\U0001F6AD',no smoking forbidden no not prohibited smoking
🚯,b'\\U0001F6AF',no littering forbidden litter no not prohibited
🚱,b'\\U0001F6B1',non-potable water non-drinking non-potable water
🚷,b'\\U0001F6B7',no pedestrians forbidden no not pedestrian prohibited
📵,b'\\U0001F4F5',no mobile phones cell forbidden mobile no not phone prohibited telephone
🔞,b'\\U0001F51E',no one under eighteen 18 age restriction eighteen forbidden no not prohibited underage
☢,b'\\U00002622',radioactive radioactive sign
☣,b'\\U00002623',biohazard biohazard sign
⬆,b'\\U00002B06',up arrow arrow cardinal direction north
↗,b'\\U00002197',up-right arrow arrow direction intercardinal northeast
➡,b'\\U000027A1',right arrow arrow cardinal direction east
↘,b'\\U00002198',down-right arrow arrow direction intercardinal southeast
⬇,b'\\U00002B07',down arrow arrow cardinal direction down south
↙,b'\\U00002199',down-left arrow arrow direction intercardinal southwest
⬅,b'\\U00002B05',left arrow arrow cardinal direction west
↖,b'\\U00002196',up-left arrow arrow direction intercardinal northwest
↕,b'\\U00002195',up-down arrow arrow
↔,b'\\U00002194',left-right arrow arrow
↩,b'\\U000021A9',right arrow curving left arrow
↪,b'\\U000021AA',left arrow curving right arrow
⤴,b'\\U00002934',right arrow curving up arrow
⤵,b'\\U00002935',right arrow curving down arrow down
🔃,b'\\U0001F503',clockwise vertical arrows arrow clockwise reload
🔄,b'\\U0001F504',anticlockwise arrows button anticlockwise arrow counterclockwise withershins
🔙,b'\\U0001F519',BACK arrow arrow back
🔚,b'\\U0001F51A',END arrow arrow end
🔛,b'\\U0001F51B',ON! arrow arrow mark on
🔜,b'\\U0001F51C',SOON arrow arrow soon
🔝,b'\\U0001F51D',TOP arrow arrow top up
🛐,b'\\U0001F6D0',place of worship religion worship
⚛,b'\\U0000269B',atom symbol atheist atom
🕉,b'\\U0001F549',om Hindu religion
✡,b'\\U00002721',star of David David Jew Jewish religion star
☸,b'\\U00002638',wheel of dharma Buddhist dharma religion wheel
☯,b'\\U0000262F',yin yang religion tao taoist yang yin
✝,b'\\U0000271D',latin cross Christian cross religion
☦,b'\\U00002626',orthodox cross Christian cross religion
☪,b'\\U0000262A',star and crescent islam Muslim religion
☮,b'\\U0000262E',peace symbol peace
🕎,b'\\U0001F54E',menorah candelabrum candlestick religion
🔯,b'\\U0001F52F',dotted six-pointed star fortune star
♈,b'\\U00002648',Aries ram zodiac
♉,b'\\U00002649',Taurus bull ox zodiac
♊,b'\\U0000264A',Gemini twins zodiac
♋,b'\\U0000264B',Cancer crab zodiac
♌,b'\\U0000264C',Leo lion zodiac
♍,b'\\U0000264D',Virgo zodiac
♎,b'\\U0000264E',Libra balance justice scales zodiac
♏,b'\\U0000264F',Scorpius scorpio scorpion zodiac
♐,b'\\U00002650',Sagittarius archer zodiac
♑,b'\\U00002651',Capricorn goat zodiac
♒,b'\\U00002652',Aquarius bearer water zodiac
♓,b'\\U00002653',Pisces fish zodiac
⛎,b'\\U000026CE',Ophiuchus bearer serpent snake zodiac
🔀,b'\\U0001F500',shuffle tracks button arrow crossed
🔁,b'\\U0001F501',repeat button arrow clockwise repeat
🔂,b'\\U0001F502',repeat single button arrow clockwise once
▶,b'\\U000025B6',play button arrow play right triangle
⏩,b'\\U000023E9',fast-forward button arrow double fast forward
⏭,b'\\U000023ED',next track button arrow next scene next track triangle
⏯,b'\\U000023EF',play or pause button arrow pause play right triangle
◀,b'\\U000025C0',reverse button arrow left reverse triangle
⏪,b'\\U000023EA',fast reverse button arrow double rewind
⏮,b'\\U000023EE',last track button arrow previous scene previous track triangle
🔼,b'\\U0001F53C',up button arrow button red
⏫,b'\\U000023EB',fast up button arrow double
🔽,b'\\U0001F53D',down button arrow button down red
⏬,b'\\U000023EC',fast down button arrow double down
⏸,b'\\U000023F8',pause button bar double pause vertical
⏹,b'\\U000023F9',stop button square stop
⏺,b'\\U000023FA',record button circle record
⏏,b'\\U000023CF',eject button eject
🎦,b'\\U0001F3A6',cinema camera film movie
🔅,b'\\U0001F505',dim button brightness dim low
🔆,b'\\U0001F506',bright button bright brightness
📶,b'\\U0001F4F6',antenna bars antenna bar cell mobile phone signal telephone
📳,b'\\U0001F4F3',vibration mode cell mobile mode phone telephone vibration
📴,b'\\U0001F4F4',mobile phone off cell mobile off phone telephone
♻,b'\\U0000267B',recycling symbol recycle
📛,b'\\U0001F4DB',name badge badge name
⚜,b'\\U0000269C',fleur-de-lis fleur-de-lis
🔰,b'\\U0001F530',Japanese symbol for beginner beginner chevron green Japanese leaf tool yellow
🔱,b'\\U0001F531',trident emblem anchor emblem ship tool trident
⭕,b'\\U00002B55',heavy large circle circle o
✅,b'\\U00002705',white heavy check mark check mark
☑,b'\\U00002611',ballot box with check ballot box check
✔,b'\\U00002714',heavy check mark check mark
✖,b'\\U00002716',heavy multiplication x cancel multiplication multiply x
❌,b'\\U0000274C',cross mark cancel mark multiplication multiply x
❎,b'\\U0000274E',cross mark button mark square
➕,b'\\U00002795',heavy plus sign math plus
♀,b'\\U00002640',female sign woman
♂,b'\\U00002642',male sign man
⚕,b'\\U00002695',medical symbol aesculapius medicine staff
➖,b'\\U00002796',heavy minus sign math minus
➗,b'\\U00002797',heavy division sign division math
➰,b'\\U000027B0',curly loop curl loop
➿,b'\\U000027BF',double curly loop curl double loop
〽,b'\\U0000303D',part alternation mark mark part
✳,b'\\U00002733',eight-spoked asterisk asterisk
✴,b'\\U00002734',eight-pointed star star
❇,b'\\U00002747',sparkle sparkle
‼,b'\\U0000203C',double exclamation mark bangbang exclamation mark punctuation
⁉,b'\\U00002049',exclamation question mark exclamation interrobang mark punctuation question
❓,b'\\U00002753',question mark mark punctuation question
❔,b'\\U00002754',white question mark mark outlined punctuation question
❕,b'\\U00002755',white exclamation mark exclamation mark outlined punctuation
❗,b'\\U00002757',exclamation mark exclamation mark punctuation
